sample_accession	sample_alias
EGAN00001376584	SA533666
EGAN00001376586	SA533768
EGAN00001376588	SA533684
EGAN00001376590	SA533721
EGAN00001376592	SA520312
EGAN00001376594	SA520221
EGAN00001376595	SA544335
EGAN00001376596	SA542454
EGAN00001376598	SA533726
EGAN00001376600	SA533780
EGAN00001376602	SA533784
EGAN00001376604	SA533773
EGAN00001376606	SA533750
EGAN00001376608	SA520290
EGAN00001376610	SA520252
EGAN00001376612	SA533674
EGAN00001376614	SA520187
EGAN00001376616	SA533665
EGAN00001376618	SA533734
EGAN00001376620	SA520168
EGAN00001376622	SA533663
EGAN00001376624	SA533643
EGAN00001376626	SA533653
EGAN00001376628	SA520223
EGAN00001376632	SA533585
EGAN00001376634	SA533803
EGAN00001376636	SA520264
EGAN00001376638	SA533704
EGAN00001376640	SA533613
EGAN00001376642	SA558653
EGAN00001376644	SA533749
EGAN00001376646	SA520274
EGAN00001376648	SA533797
EGAN00001376650	SA533811
EGAN00001376652	SA533676
EGAN00001376654	SA558659
EGAN00001376656	SA533686
EGAN00001376658	SA520229
EGAN00001376660	SA520239
EGAN00001376662	SA520278
EGAN00001376664	SA533801
EGAN00001376666	SA520292
EGAN00001376668	SA533764
EGAN00001376670	SA533580
EGAN00001376672	SA533747
EGAN00001376674	SA520182
EGAN00001376676	SA520169
EGAN00001376678	SA533725
EGAN00001376680	SA520270
EGAN00001376682	SA520201
EGAN00001376686	SA533741
EGAN00001376688	SA520318
EGAN00001376689	SA533799
EGAN00001376690	SA533688
EGAN00001376692	SA533709
EGAN00001376696	SA533757
EGAN00001376698	SA533786
EGAN00001376699	SA533640
EGAN00001376700	SA533615
EGAN00001376702	SA533639
EGAN00001376704	SA520235
EGAN00001376706	SA533652
EGAN00001376708	SA533690
EGAN00001376710	SA533800
EGAN00001376712	SA520300
EGAN00001376714	SA533664
EGAN00001376716	SA558699
EGAN00001376718	SA558656
EGAN00001376720	SA533713
EGAN00001376721	SA533812
EGAN00001376722	SA533695
EGAN00001376724	SA533668
EGAN00001376726	SA558655
EGAN00001376728	SA520203
EGAN00001376730	SA533746
EGAN00001376732	SA520243
EGAN00001376734	SA533779
EGAN00001376736	SA520298
EGAN00001376738	SA520181
EGAN00001376740	SA520193
EGAN00001376742	SA533681
EGAN00001376744	SA533669
EGAN00001376746	SA558678
EGAN00001376748	SA533813
EGAN00001376750	SA533796
EGAN00001376752	SA533815
EGAN00001376754	SA533736
EGAN00001376756	SA520207
EGAN00001376757	SA533752
EGAN00001376759	SA533724
EGAN00001376761	SA558658
EGAN00001376763	SA533661
EGAN00001376765	SA558710
EGAN00001376766	SA533711
EGAN00001376767	SA533744
EGAN00001376768	SA533656
EGAN00001376769	SA520262
EGAN00001376771	SA533698
EGAN00001376777	SA533682
EGAN00001376779	SA533716
EGAN00001376781	SA520304
EGAN00001376783	SA533659
EGAN00001376785	SA533772
EGAN00001376787	SA533702
EGAN00001376789	SA533770
EGAN00001376791	SA520248
EGAN00001376793	SA533718
EGAN00001376797	SA533745
EGAN00001376801	SA520282
EGAN00001376803	SA558648
EGAN00001376805	SA533660
EGAN00001376807	SA533805
EGAN00001376809	SA533619
EGAN00001376815	SA533625
EGAN00001376817	SA533743
EGAN00001376819	SA533703
EGAN00001376821	SA533729
EGAN00001376825	SA533647
EGAN00001376827	SA520215
EGAN00001376829	SA558715
EGAN00001376831	SA533730
EGAN00001376835	SA533753
EGAN00001376837	SA533758
EGAN00001376839	SA533723
EGAN00001376841	SA520283
EGAN00001376843	SA533733
EGAN00001376845	SA533642
EGAN00001376847	SA520214
EGAN00001376849	SA533781
EGAN00001376851	SA520306
EGAN00001376853	SA533714
EGAN00001376855	SA558660
EGAN00001376857	SA520314
EGAN00001376858	SA520175
EGAN00001376860	SA533651
EGAN00001376862	SA533649
EGAN00001376864	SA533706
EGAN00001376868	SA533732
EGAN00001376870	SA533720
EGAN00001376872	SA558649
EGAN00001376874	SA533777
EGAN00001376876	SA520258
EGAN00001376878	SA533646
EGAN00001376880	SA533782
